职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
银行-外汇经理岗,25-45万/年,北京·西城区,2年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,外汇;跨境业务,
银行风险管理高级培训师,3千/天,上海·嘉定区,5年及以上,本科,上海师橙文化传媒有限公司,教育/培训/院校,民营,50-150人,,经济;风险管理;反洗钱;贷后;风险防范;专业授课;风险管理体系;不良资产清收;无需坐班;兼职,金融 银行风险管理
客户服务（对接银行，工作稳定无风险）,3-6千,曲靖·麒麟区,无需经验,大专,云南佰胜企业管理有限公司曲靖分公司,银行,民营,500-1000人,带薪培训;绩效奖金;带薪年假;下午茶;节日福利;提成,房补;节假日;团建旅游;法定节假;生日礼金;底薪;生日会,
招商银行零售客户经理,8千-1.6万,绵阳·涪城区,无需经验,大专,招商银行股份有限公司绵阳分行,银行,事业单位,1000-5000人,五险一金;绩效奖金;专业培训;节日福利;周末双休,信用卡;联系客户,营销 金融 客户服务 客户营销 推广销售
银行分期专员（直签）当月发薪,8千-1.6万·13薪,成都·青羊区,1年及以上,中技/中专,招商信诺人寿保险有限公司成都电话销售中心,银行,民营,5000-10000人,带薪病假;带薪培训;带薪年假;培训;假日福利,旅游;免费体检;晋升;团队建设;大平台;生日会;员工生日;节假日,
银行个人业务客户经理,1.5-2万,北京·丰台区,无需经验,大专,中国平安人寿保险股份有限公司北京分公司,保险,民营,未知,,贷款;理财经理,金融 销售 银行 销售代表
银行后台客服销售6000+,6-8千,成都·成华区,无需经验,高中,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪休假,信用卡;账单分期;增值;节假日;工作简单,
招商银行零售客户经理（五险一金 高薪）,8千-1.5万,绵阳·涪城区,无需经验,,招商银行股份有限公司绵阳分行,银行,事业单位,1000-5000人,五险一金;交通补贴;员工旅游,信用卡;零售;市场开拓;联系客户,营销 金融 客户营销 推广销售 招商银行
浦发银行营销辅助岗（派遣）,7-8千·14薪,上海,无需经验,本科,上海财安金融服务集团股份有限公司,金融/投资/证券,民营,1000-5000人,,创意策划;现场尽调;现场执行;理财方案;客户沟通维护;资料填报,营销 客户服务 路演 持续营销
銀行客服,7-9千,广州·海珠区,1年及以上,大专,广州润宝信息科技有限公司,外包服务,合资,150-500人,带薪年假;培训;公司福利,舒适办公;人性化;晋升渠道;运营;业务咨询;解决客户投诉;线上渠道,
银行岗位车贷专员,8千-1.3万,成都,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,带薪培训,早班;周末休;不限经验,金融行业
国内外双上市银行贷款寿险渠道经理月薪8W,7-8万,南京·秦淮区,1年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,保险;保险经纪;保险代理人;不加班,寿险;贷款;发展空间大;高薪;奖金;旅游,销售 银行 客户经理
银行信用卡催收专员,8千-1.5万,广州·白云区,无需经验,高中,广东德森金融企业服务有限公司,金融/投资/证券,民营,500-1000人,五险一金;高温补贴;带薪年假;带薪病假,催收;征信;处理客户问题;节假日,
银行公司业务客户经理 ID198919,2-4万,苏州·苏州工业园区,6年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,五险一金,尽职调查;维护客户关系;内审;反洗钱;内控管理;诉讼保全;合规检查,金融产品 银行服务 市场拓展营销
银行室内班 7500 可小白 可应届,6.5-8.5千,成都·青羊区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪休假;餐补;补充医疗保险;员工旅游;交通补贴;餐饮补贴;专业培训;绩效奖金;年终奖金,提供住宿,
客户经理，私人银行部,2.5-4.5万,深圳·罗湖区,5年及以上,本科,华侨银行有限公司,银行,外资（非欧美）,1000-5000人,培训;五险一金,管理;开发客户资源;投后服务;项目筹划;运营风险管理;risk,财富管理 客户服务 投资 客户营销
银行信用卡催收专员-周末双休/14薪,8千-1.5万·14薪,武汉·洪山区,无需经验,高中,CBC（北京）信用管理有限公司湖北分公司,金融/投资/证券,外资（欧美）,1000-5000人,周末双休,谈判;跟进客户;征信;法律风险;案件资料;不良资产;信息修复;信控;客户;晋升;生日礼品,销售
零售银行客户经理,3-5万·14薪,广州·番禺区,3年及以上,本科,昇锐（广州）留学咨询服务有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,保险基金销售,广东话流利;IIQE123;HKSI1;7;8;香港办公;提供工作签证,销售 银行产品 投资市场 零售银行
银行对公业务客户经理 ID178046,1.8-3.5万,北京,5年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,五险一金,尽职调查;维护客户关系;内审;反洗钱;内控管理;诉讼保全;合规检查,金融产品 银行服务 市场拓展营销
国内外双上市银行贷款寿险渠道经理月薪8W,7.5-8.5万,常州·武进区,1年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,保险;保险代理;保险代理人;保险销售;保险经纪;不加班;五险一金;带薪休假,寿险;贷款;发展空间大,销售 银行
银行中后台（接收小白）,6千-1.2万,北京·房山区,无需经验,中技/中专,宁波正立企业咨询服务有限公司北京分公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;下午茶;购买社保,生日红包;员工活动;部门团建;聚餐;无需外出;工作简单;电脑;后台系统;客户案件,
招几个银行资产管理员 8200,7千-1万,成都·武侯区,无需经验,高中,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪培训;购买五险;员工福利,业务简单;专业不限;团队氛围好;无责底薪;奖金,
（五险一金）广发银行招接听客服,8-9千,长沙,无需经验,大专,兄弟连供应链管理（天津）有限公司,新能源,民营,10000人以上,五险一金;带薪年假;交通补贴;夜班补贴;年终奖励;五险;绩效奖金;项目奖金,上五休二;团队活动;节假日;法定节假,
银行文员/周末双休,3.7-4千,广州,无需经验,大专,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,五险一金;带薪年假;周末双休,文职;档案整理;贷款资料审核;书写表达能力;文字书写功底;工作轻松,银行 银行资料
银行录入员,5-6千,合肥,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;餐补,电脑;信息录入;办公;业务授权;信息审核;无犯罪证明;征信记录;排班;可转正;满勤;央企,
银行直招两个后台处理,7千-1.2万,成都·青羊区,无需经验,中技/中专,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪年假;餐补;下午茶;带薪培训;带薪休假;单双休;不加班;购买五险,提供住宿;岗位晋升;氛围轻松,
银行信用卡催收员（天河）,8千-1.2万,广州·天河区,1年,初中及以下,广东德森金融企业服务有限公司,金融/投资/证券,民营,500-1000人,五险一金;加班补贴;高温补贴;带薪年假;提成,催收;员工活动;信用卡账款;旅游;慰问金;底薪;节假日,
银行融资专员,1.2-2万,上海·徐汇区,2年及以上,大专,上海川禾电子商务有限公司,互联网/电子商务,民营,50-150人,五险一金;员工旅游;交通补贴;餐饮补贴;专业培训;绩效奖金;年终奖金;带薪年假;带薪病假;项目奖金,弹性工作,
银行正编-企金业务科长-上海,20-30万/年,上海·徐汇区,5年及以上,本科,石家庄深智科技有限公司,电子技术/半导体/集成电路,民营,未知,,管理;结算;国际贸易;经济;客户资源;市场拓展;理财;信贷;授信,金融
银行招两个后台岗8000,6.5-8千,成都·青羊区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,不加班;五险一金;带薪年假;餐补;带薪培训;社保;周末双休,周末休;晋升快;提供住宿;报销路费,
银行直招，周末休-可住宿,5-9千,西安,无需经验,高中,广东鸿联九五信息产业有限公司,外包服务,国企,10000人以上,提成奖金;带薪培训;带薪年假;下午茶;缴纳五险;系统培训;假日福利,定期团建;提供住宿;法定假日;节假日,
国内外双上市银行贷款寿险渠道经理月薪8W,7-8万,南京·秦淮区,1年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,保险;保险经纪;保险代理人;不加班,寿险;贷款;发展空间大;高薪;奖金;旅游,销售 银行 客户经理
金融实习生（管培 保险 银行）,3-6千,杭州·拱墅区,无需经验,高中,中国人寿保险股份有限公司杭州市分公司,保险,国企,1000-5000人,培训;保险;商业保险;技能培训;绩效奖金,管理;实习;养老医疗;客户;储备,销售 金融 投资理财
实习/兼职双休4-6k银行企微客服,4-6千,广州·越秀区,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,周末双休;双休;五险一金;带薪年假;不加班;培训,兼职;交通便利;工作简单;晋升通道;体检;法定假日;产假,
招商银行零售客户经理,8千-1.6万,绵阳·涪城区,无需经验,大专,招商银行股份有限公司绵阳分行,银行,事业单位,1000-5000人,五险一金;绩效奖金;专业培训;节日福利;周末双休,信用卡;联系客户,营销 金融 客户服务 客户营销 推广销售
国内外双上市银行贷款汽车渠道经理月薪5W,3-5万,南京·秦淮区,1年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,五险一金;带薪休假;专业培训;假日福利,汽车分期;信贷;车贷;贷款;维护客户;抵押;旅游;发展空间;六险一金,
客户服务（对接银行，工作稳定无风险）,3-6千,曲靖·麒麟区,无需经验,大专,云南佰胜企业管理有限公司曲靖分公司,银行,民营,500-1000人,带薪培训;绩效奖金;带薪年假;下午茶;节日福利;提成,房补;节假日;团建旅游;法定节假;生日礼金;底薪;生日会,
银行个人业务客户经理,1.5-2万,北京·丰台区,无需经验,大专,中国平安人寿保险股份有限公司北京分公司,保险,民营,未知,,贷款;理财经理,金融 销售 银行 销售代表
银行大堂助理（双休）,3-6千,丽江·古城区,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,带薪年假;做五休二;五险一金;双休,客户接待;推广;征信;引导分流;定期团建,营销 网上银行 手机银行
国内外双上市银行贷款寿险渠道经理月薪8W,7.5-8.5万,常州·武进区,1年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,保险;保险代理;保险代理人;保险销售;保险经纪;不加班;五险一金;带薪休假,寿险;贷款;发展空间大,销售 银行
浦发银行营销辅助岗（派遣）,7-8千·14薪,上海,无需经验,本科,上海财安金融服务集团股份有限公司,金融/投资/证券,民营,1000-5000人,,创意策划;现场尽调;现场执行;理财方案;客户沟通维护;资料填报,营销 客户服务 路演 持续营销
银行后台客服销售6000+,6-8千,成都·成华区,无需经验,高中,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪休假,信用卡;账单分期;增值;节假日;工作简单,
招商银行零售客户经理（五险一金 高薪）,8千-1.5万,绵阳·涪城区,无需经验,,招商银行股份有限公司绵阳分行,银行,事业单位,1000-5000人,五险一金;交通补贴;员工旅游,信用卡;零售;市场开拓;联系客户,营销 金融 客户营销 推广销售 招商银行
銀行客服,7-9千,广州·海珠区,1年及以上,大专,广州润宝信息科技有限公司,外包服务,合资,150-500人,带薪年假;培训;公司福利,舒适办公;人性化;晋升渠道;运营;业务咨询;解决客户投诉;线上渠道,
银行客户经理（工作地区：上海市崇明区）,,上海·崇明区,3年及以上,,中国邮政储蓄银行股份有限公司上海分行,银行,国企,1000-5000人,五险一金;带薪年假;交通补贴;餐饮补贴;通讯补贴;高温补贴;绩效奖金,经济;授信;社会招聘,金融 客户营销
银行电话销售专员,7千-1.2万,沈阳·和平区,无需经验,大专,长沙惠邦网络科技有限公司辽宁分公司,银行,民营,5000-10000人,带薪年假;五险一金;双休;培训;绩效提成;公司福利,奖金;团建聚餐;底薪;无需外出;环境优美;生日会;满勤奖,
银行分期专员（直签）当月发薪,8千-1.6万·13薪,成都·青羊区,1年及以上,中技/中专,招商信诺人寿保险有限公司成都电话销售中心,银行,民营,5000-10000人,带薪病假;带薪培训;带薪年假;培训;假日福利,旅游;免费体检;晋升;团队建设;大平台;生日会;员工生日;节假日,
银行热线客服（越秀区五险一金）,8千-1.2万,广州·越秀区,无需经验,中技/中专,长沙惠邦网络科技有限公司,银行,民营,1000-5000人,单双休;带薪年假;五险一金;专业培训;周末双休;五险;双休;提成,奖金;定期团建;底薪;无需外出;节假日,
年终奖金-银行后台坐席,5-7千,武汉,无需经验,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,年终奖;五险一金;年终奖金;节日福利;晋升空间;培训,奖金;提供住宿;食堂;8小时;月休8天;双人间;上五休二,
银行协理——沙坪坝,3.5-4.5千,重庆·沙坪坝区,无需经验,本科,重庆豪韵实业有限公司,信托/担保/拍卖/典当,民营,50-150人,双休;餐饮补贴;周末双休;节日福利;带薪年假;五险,客户资料;存档;资料系统录入;信贷;节假日;法定节假,
港资银行粤英在线客服-双休,6-7千,广州·天河区,无需经验,大专,广州互联企信科技有限公司,通信/电信运营、增值服务,外资（欧美）,5000-10000人,五险一金;绩效奖金;带薪年假;定期体检;节日福利,试用期全额;定期团建,
银行保险客户经理-余姚区域,4-7千,宁波·余姚市,1年及以上,大专,泰康人寿保险有限责任公司宁波分公司,保险,民营,1000-5000人,保险;周末双休;商业保险;业务提成,维护客户关系;保障规划;旅游;津贴;节假日休,销售 金融 客户服务
找两个银行后台 7800 周末休,4-8千,成都·成华区,无需经验,高中,四川泰盈科技有限公司,计算机软件,民营,未知,带薪培训;社保;五险一金;不加班;餐补;带薪休假;下午茶,行政班;节假日;氛围轻松;法定假期;上不封顶,
银行电销项目驻场经理,1-1.2万,重庆·渝中区,3年及以上,大专,银雁科技服务集团股份有限公司,金融/投资/证券,民营,10000人以上,五险一金;专业培训;带薪年假;培训;年终奖金,电销组长;定期团建;大小周;晋升;团队建设;底薪;晋升机制,
银行不良资产催收,8千-1万,郑州,无需经验,中技/中专,中融国信（北京）资产管理有限公司,金融/投资/证券,民营,1000-5000人,五险一金;专业培训;绩效奖金;年终奖金,经济;法律;催收;信用卡;法学;法务;数据资源,市场营销 金融 银行
业务经理(抵押/银行/设备/融资租赁) / RM,10-18万/年,成都·武侯区,2年,大专,亿多世（中国）融资租赁有限公司,金融/投资/证券,外资（非欧美）,500-1000人,五险一金;补充医疗保险;员工旅游;通讯补贴,设备;房产抵押;渠道,融资租赁 销售 金融 市场营销 银行
银行正编对公信贷审批岗,1.5-2.5万,,3-5年,本科,河南嵩辉人才服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,风险管理;授信;信贷;信用管理;信用风险分析,金融 银行 银行信贷审批 银行授信审批
招2个银行后台 须大专 7600,7千-1.1万,成都·青羊区,无需经验,大专,四川泰盈科技有限公司,计算机软件,民营,未知,五险一金;带薪培训;下午茶;带薪年假;餐补,行政;后台;办公室办公;线上处理;提供住宿;报销车费;团建;节假日,
国内外双上市银行贷款S3级客户经理月薪5W,4-5万,湖州·吴兴区,3年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,带薪休假;商业保险;专业培训;不加班;培训;补贴;午餐补贴,旅游;奖金;慰问金;晋升;六险;大平台;话补,
银行渠道销售内勤,6-7千,合肥·蜀山区,2年及以上,本科,阳光人寿保险股份有限公司合肥中心支公司,专业服务(咨询、人力资源、财会),民营,未知,绩效奖金;节日福利;带薪年假;专业培训;定期体检;周末双休;年终奖金,渠道关系维护,销售支撑 银行渠道
银行打字文员,3-5千,北京·朝阳区,无需经验,高中,信雅达（杭州）计算机服务有限公司,贸易/进出口,已上市,5000-10000人,缴纳社保;带薪年假;带薪培训,打字;文职;资料录入;五笔;盲打;资料信息录入;多劳多得;工作轻松;全勤奖,
高薪聘请银行融资专员,2.5-4万,昆明·五华区,无需经验,大专,昆明海尼酒店投资管理有限公司,酒店/旅游,民营,少于50人,,市场调研;融资;数据支持;无需坐班,银行融资
银行保险储备HWP（健康财富规划师),4-8千,宁波·慈溪市,3-5年,大专,泰康人寿保险有限责任公司宁波分公司,保险,民营,1000-5000人,培训;保险产品;保险销售;保险;业务提成,理赔;维护;续期;生日礼品,销售 客户服务 销售支持 寿险营销
银行押运员 八险三金 长白班 做三休一,6-7千·13薪,上海,无需经验,中技/中专,上海文赟人力资源（集团）有限公司,互联网/电子商务,民营,少于50人,五险一金;绩效奖金;年终奖金;补充医疗保险;补充公积金,无犯罪记录证;无纹身;1.70米以上;身体健康;弹性工作,
5500+银行后台 可小白 五险一金,5千-1万,昆山,无需经验,高中,安徽泰盈信息科技有限公司,电子技术/半导体/集成电路,民营,未知,五险一金;培训;补贴,长白班;节假日,
银行坐席 6000+五险一金，接收小白,6千-1万,深圳·南山区,无需经验,,上海志行合力网络技术有限公司,通信/电信运营、增值服务,民营,1000-5000人,保险;节日福利;下午茶;提成;高额提成;补贴,奖金;旅游;00后;团建;节日礼品;聚餐;环境舒适;底薪,
银行客服专员,2.6-4.5千,曲靖·麒麟区,无需经验,大专,云南佰胜企业管理有限公司曲靖分公司,银行,民营,500-1000人,带薪年假;节日福利;绩效奖金;带薪培训;下午茶;提成;购买五险,底薪;法定节假;生日礼金;团建旅游;生日会,
光大银行渠道经理,1-2万,广州,1年,本科,中国平安人寿保险股份有限公司广东分公司,保险,民营,500-1000人,年终奖;补贴;绩效提成;培训;取暖补贴;社保福利,生日津贴;季度奖;发展平台;500强;津贴,银行渠道维护
银行客户经理（就近分配）,1-1.5万,北京·东城区,无需经验,本科,河北银聘企业管理咨询有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;缴纳五险;周末双休;培训;提成;补贴,客户;就近分配;无责底薪;底薪;六险一金;法定节假;节假日,
产品经理（交易银行处）ID193197,3-4万,上海,8年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,培训;五险一金,市场调研;前期调研;对比分析;方案规划;维系老客户;新产品;额度审批;考试,交易银行
产品经理（交易银行处）ID193197,3-4万,上海,8年及以上,本科,东亚银行（中国）有限公司,银行,外资（非欧美）,1000-5000人,培训;五险一金,市场调研;前期调研;对比分析;方案规划;维系老客户;新产品;额度审批;考试,交易银行
银行对公营销高级讲师,3千/天,上海·嘉定区,10年及以上,本科,上海师橙文化传媒有限公司,教育/培训/院校,民营,50-150人,,授课;课程设计;经济;专业授课;多渠道开发;内部授课;无需坐班;兼职,金融 渠道营销 银行对公 银行对公业务
客户经理（银行正编）,1.5-2.2万,南通,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),合资,5000-10000人,五险一金;绩效奖金;年终奖金;带薪年假;餐饮补贴;交通补贴;做五休二,客户管理维护;体检,客户开发
国内外双上市银行贷款S2级客户经理月薪5W,3-4.5万,南京·秦淮区,1年及以上,大专,上海裕杰信息科技有限公司,金融/投资/证券,民营,150-500人,专业培训;补充医疗保险,信贷;贷前;贷款业务;上市平台;市场开拓;贷款;弹性工作,销售 销售经理 信贷客户经理
投资银行部—实习生,3千及以下,上海·浦东新区,无需经验,本科,爱建证券有限责任公司,金融/投资/证券,国企,500-1000人,培训,excel;财务;word;尽职调查;经济;软件;投行;会计师事务所,金融 ipo
银行保安员,4-6千,北京·大兴区,无需经验,,北京振远护卫有限公司,交通/运输/物流,国企,10000人以上,五险一金;专业培训;高温补贴;节日福利,月休4天;包三餐;包住宿;住房公积金,
银行英文客服（做五休二、五险一金）,1.1-1.2万,上海·浦东新区,无需经验,大专,上海维音信息技术股份有限公司,互联网/电子商务,外资（欧美）,10000人以上,五险一金;做五休二;周末双休;绩效奖金;专业培训;带薪年假;年终奖金;定期体检;交通补贴,免费班车;办公软件,
银行系统测试,6-8千,成都·青羊区,无需经验,大专,四川进拓创力机械设备有限公司,原材料和加工,民营,未知,项目奖金;五险一金;下午茶,功能测试;用例;分析测试;测试计划;需求评审;包住宿,银行系统
银行坐班客服（高薪+周末休）,9千-1.8万,西安·未央区,无需经验,高中,广东鸿联九五信息产业有限公司,外包服务,国企,10000人以上,带薪培训;不加班;带薪年假;社保;购买社保,坐班;奖金;提供住宿;上不封顶;氛围轻松;高薪;行政班;00后,
银行保安员（国企）,4-6千,北京·大兴区,无需经验,,北京振远护卫有限公司,交通/运输/物流,国企,10000人以上,五险一金;专业培训;高温补贴;节日福利,月休4天;包三餐;包住宿;住房公积金,
业务 / 运营 (银行电子商城) - 上海,7千-1.2万,上海·普陀区,5年及以上,大专,上海宗胤商贸有限公司,家具/家电/玩具/礼品,外资（非欧美）,50-150人,绩效奖金;年终奖金;定期体检;员工旅游;交通补贴;五险一金;周末双休,,
银行食堂项目经理（双休）,6千-1万·13薪,佛山·南海区,3年及以上,大专,佛山市银泰商务服务有限公司,外包服务,民营,500-1000人,带薪年假;商业保险;周末双休;节日福利;双休;员工旅游;五险一金,饭堂;食堂;项目经理;法定假期,
