职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
董事会秘书,2-4万,南京·江宁区,5年及以上,本科,无锡诺宇医药科技有限公司,制药/生物工程,民营,150-500人,五险一金;定期体检;年终奖金,项目管理;谈判;会计;法律;cpa;注册会计师;投行,金融 股权投资 ipo
金融产品部机构业务岗,8千-1.5万,哈尔滨·松北区,3年及以上,硕士,江海证券有限公司,金融/投资/证券,国企,1000-5000人,保险,咨询服务;资产管理;资产配置;尽调;渠道建设;布局;设计优化,销售 金融 投融资 上市公司
股票投资经理（TMT）,2-2.5万·18薪,上海·浦东新区,3年及以上,硕士,工银安盛资产管理有限公司,金融/投资/证券,民营,未知,,券商研究所;tmt;市场跟踪,投资 投资策略制定 权益投资
债券投资经理(J10481),1.4-2.5万,上海·浦东新区,2年及以上,硕士,国联民生证券股份有限公司,计算机软件,外资（欧美）,50-150人,,现券交易,
多资产策略部-投资经理助理,1-1.5万,上海·黄浦区,2年及以上,硕士,东证润和资本管理有限公司,金融/投资/证券,国企,50-150人,,财务;经济;法律;资料归档;私募基金运营;业绩跟踪,金融 投资流程
债权项目开发岗（投资银行业务）,1-2万,深圳·福田区,3年及以上,本科,国建鹏城（深圳）投资有限公司,金融/投资/证券,民营,150-500人,培训;五险一金;补充医疗保险;通讯补贴;定期体检;专业培训,项目投拓;城投对接;国有企业,
证券公司 事业部总经理-宁波,2-4万,宁波·鄞州区,2年及以上,本科,中航证券有限公司安徽分公司,金融/投资/证券,国企,50-150人,五险一金;周末双休,团队管理;融资;经营管理;新三板;债券;资管;投行;业务招揽,证券从业 证券市场 上市公司
投资经理,15-20万/年,杭州·上城区,2年及以上,本科,宁波磐石投资管理有限公司,金融/投资/证券,民营,少于50人,,数据分析;财务;尽职调查;经济;资产配置,金融 投资策略 资本市场 投资项目 投资渠道
资管投资部投资经理助理,1-1.3万,长沙·岳麓区,2年及以上,硕士,财信证券股份有限公司,金融/投资/证券,国企,1000-5000人,保险,证券从业资格;excel;word;ppt;编程;基金,银行 证券投资 金融行业
财务负责人,1.8-3.6万·13薪,无锡·新吴区,10年及以上,本科,无锡市尚沃医疗电子股份有限公司,医疗设备/器械,民营,50-150人,五险一金;绩效奖金;专业培训;定期体检,财务;预算;税务;核算;投行;pe;会计准则;管理报表,银行 ipo
总经理,3-4万,成都·武侯区,8年及以上,本科,四川锦国人力资源管理有限公司,专业服务(咨询、人力资源、财会),国企,50-150人,,管理;财务;尽职调查;经济;法律;理工科;理工;经营管理;国有企业;薪资面议,金融 金融机构
保理业务岗,1-2万,武汉·汉阳区,2年及以上,本科,湖北交投资本投资有限公司,金融/投资/证券,国企,少于50人,,人才招聘;现场尽调;材料撰写;拓展策略;保后管理;项目审批;行业调研分析;监管制度;业务流程建设,行业政策
投资基金募资岗,1.5-2.5万,苏州·苏州工业园区,2年及以上,本科,苏州圆才信息科技有限公司,电子技术/半导体/集成电路,国企,150-500人,五险一金;绩效奖金;年终奖金;员工旅游;带薪年假,基金;经济;资管;渠道策略,金融 证券投资基金 银行理财
投资经理,1.2-2万,昆明·盘龙区,3年及以上,本科,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,保险,民营,未知,定期体检;绩效奖金;年终奖金;专业培训;补充医疗保险;周末双休;做五休二,,
财富（机构）总监(J12831),1-2万,福州,3年及以上,本科,东北证券股份有限公司,金融/投资/证券,已上市,1000-5000人,五险一金;专业培训;年终奖金;定期体检,机构业务;财富总监,金融 机构销售 财富管理
财务融资岗,13-26万/年,武汉·汉阳区,3年及以上,本科,湖北交投资本投资有限公司,金融/投资/证券,国企,少于50人,,,
投资管理部-黄金交易员(J50856),,上海·浦东新区,3年及以上,本科,太平人寿保险有限公司,保险,国企,10000人以上,,,
债权项目开发岗（投资银行业务）,1-2万,深圳·福田区,3年及以上,本科,国建鹏城（深圳）投资有限公司,金融/投资/证券,民营,150-500人,培训;五险一金;补充医疗保险;通讯补贴;定期体检;专业培训,项目投拓;城投对接;国有企业,
融资租赁专案人员（偏行业研究）,1-2万·13薪,苏州,5年及以上,本科,江苏裕融融资租赁有限公司,金融/投资/证券,外资（非欧美）,150-500人,,数据分析;财务;ppt;经济;资料整理;风险管理;可行性分析;前期调研,金融 金融机构
固定收益部-投资助理岗（行研）,1.5-2.5万·18薪,深圳·南山区,2年及以上,硕士,联储证券股份有限公司,金融/投资/证券,民营,1000-5000人,,数据库;数据分析;行业研究;估值模型;tmt;行业轮动;高端制造,金融机构 金融理论 投资分析报告 上市公司
投资经理,9千-1.3万,宁波·鄞州区,2年及以上,本科,浙江朝乾股权投资管理有限公司,金融/投资/证券,民营,少于50人,五险一金;专业培训,审计;尽职调查;投后管理;法务;尽调报告;年报,投资 股权投资 投资建议书 投资方案
金融产品部机构业务岗,8千-1.5万,哈尔滨·松北区,3年及以上,硕士,江海证券有限公司,金融/投资/证券,国企,1000-5000人,保险,咨询服务;资产管理;资产配置;尽调;渠道建设;布局;设计优化,销售 金融 投融资 上市公司
投资经理（医疗和新能源方向各1名）,1.5-2.5万·13薪,苏州·苏州工业园区,3年及以上,硕士,苏州源起技术服务有限公司,新能源,民营,50-150人,,新能源,
交易执行岗（自营）- Associate to Senior Associate,2-3.5万,上海·黄浦区,2-4年,本科,星展证券（中国）有限公司,金融/投资/证券,外资（非欧美）,50-150人,五险一金;年终奖金;定期体检;带薪年假;补充医疗保险,,
财富（机构）总监(J12831),1-2万,福州·福清市,3-4年,本科,东北证券股份有限公司,金融/投资/证券,已上市,1000-5000人,五险一金;专业培训;年终奖金;定期体检,机构业务;财富总监;团队管理;资产配置,金融
供应链金融业务岗,13-26万/年,武汉·汉阳区,2年及以上,本科,湖北交投资本投资有限公司,金融/投资/证券,国企,少于50人,,,
BK82AW-固定收益室交易员,30-40万/年,深圳·福田区,3-4年,本科,平安银行股份有限公司,银行,已上市,10000人以上,绩效奖金;定期体检;餐补;五险一金;带薪年假,,
金融市场部-贵金属交易员岗,1.5-2.5万,常州,2年及以上,本科,江苏江南农村商业银行股份有限公司,银行,国企,1000-5000人,绩效奖金;专业培训;定期体检;餐饮补贴;通讯补贴;补充医疗保险,cfa;frm;研判行情走势;自营交易,金融市场
财富（机构）总监(J12831),1-2万,厦门,3-4年,本科,东北证券股份有限公司,金融/投资/证券,已上市,1000-5000人,五险一金;专业培训;年终奖金;定期体检,机构业务;财富总监,金融 机构销售 财富管理
创新投资部投资经理（利率债方向）,1.5-3万,上海·浦东新区,1年及以上,硕士,江海证券有限公司,金融/投资/证券,国企,1000-5000人,,数据库;证券从业资格;国债期货;研究框架;交易工具;利率互换,银行 投资 投资研究报告
投资经理,1.2-2万,上海·浦东新区,1年,本科,招商期货有限公司,金融/投资/证券,国企,150-500人,周末双休;五险一金;交通补贴;通讯补贴;餐饮补贴,期货;弹性工作;发展空间大,投资经理
HRBP（关注金融行业）(J48741),1.5-2.5万·13薪,苏州·吴中区,4-6年,本科,开途科技（苏州）有限公司杭州分公司,机械/设备/重工,民营,50-150人,社保;五险一金;五险;带薪年假;带薪病假;年终奖金,团队氛围;职业发展;公积金;晋升,金融
创新岗,1.2-1.5万,北京·海淀区,2年及以上,硕士,东海证券股份有限公司,金融/投资/证券,国企,1000-5000人,五险一金;带薪年假;年终奖金;绩效奖金;专业培训;有餐补;通讯补贴,,
